frame_id,track_id,label,x1,y1,x2,y2
1,0,person,391.6,236.1,515.3,515.7
1,1,person,946.1,218.9,1172.9,717.1
1,2,person,172.6,226.7,335.5,696.0
1,3,person,546.2,266.8,664.0,520.0
1,4,person,319.8,337.9,404.5,567.1
1,5,person,748.2,246.6,840.0,509.6
1,6,handbag,135.5,363.2,195.6,441.4
1,7,person,1190.6,287.5,1279.5,720.1
1,8,person,665.3,272.8,754.4,501.2
1,9,handbag,1188.0,378.7,1279.5,555.0
1,10,handbag,809.5,302.5,872.4,382.3
1,11,person,602.5,201.2,686.1,449.8
1,12,handbag,667.4,395.8,719.5,482.1
1,13,person,544.6,173.1,580.4,279.8
1,14,person,140.4,199.3,236.6,439.2
2,0,person,394.3,236.9,516.6,516.0
2,1,person,946.2,219.1,1171.0,716.9
2,2,person,175.0,228.3,335.2,696.1
2,3,person,545.8,267.6,663.4,520.3
2,4,person,322.3,338.0,407.4,567.0
2,5,person,748.0,246.5,840.9,510.0
2,6,handbag,140.4,362.9,199.5,440.9
2,7,person,1188.7,271.2,1281.2,716.6
2,8,person,668.1,273.4,755.0,497.5
2,9,handbag,1188.2,376.1,1280.0,555.5
2,10,handbag,806.1,290.5,875.6,383.6
2,11,person,609.3,209.5,684.0,449.2
2,12,handbag,667.6,396.1,719.6,482.2
2,13,person,545.0,172.9,580.4,279.7
2,14,person,154.4,199.1,241.9,431.0
3,0,person,398.4,237.6,519.3,516.7
3,1,person,946.9,219.2,1171.0,716.9
3,2,person,177.3,231.1,334.3,696.7
3,3,person,545.8,267.2,663.4,520.6
3,4,person,324.2,336.5,410.4,567.1
3,5,person,747.8,246.4,841.0,509.7
3,6,handbag,145.7,363.8,201.0,438.0
3,7,person,1193.7,288.5,1278.2,718.5
3,8,person,670.3,274.9,758.1,502.8
3,9,handbag,1188.8,372.8,1280.7,555.1
3,10,handbag,805.8,288.7,876.0,383.9
3,11,person,611.1,211.4,683.7,448.9
3,12,handbag,667.9,395.9,719.7,482.2
3,13,person,545.1,172.8,580.6,279.8
3,14,person,166.4,195.7,244.0,408.5
4,0,person,403.4,235.7,522.9,516.0
4,1,person,947.2,219.1,1170.0,716.8
4,2,person,181.5,233.4,333.3,695.2
4,3,person,545.2,267.6,662.0,520.7
4,4,person,326.4,336.2,412.2,567.2
4,5,person,747.1,246.1,841.5,509.5
4,6,handbag,150.7,364.4,203.3,435.9
4,7,person,1191.0,276.9,1280.9,718.1
4,8,person,671.9,275.5,758.8,504.2
4,9,handbag,1188.6,370.7,1281.9,554.3
4,10,handbag,806.3,289.6,875.7,384.3
4,11,person,609.7,211.3,683.7,449.4
4,12,handbag,668.3,395.7,719.9,482.1
4,13,person,545.1,173.0,580.6,280.0
4,14,person,160.9,195.7,251.3,422.5
4,15,person,283.0,218.5,358.8,406.7
5,0,person,408.5,235.1,527.2,516.2
5,1,person,947.4,218.8,1170.7,717.2
5,2,person,185.4,234.2,334.0,693.0
5,3,person,545.4,267.9,661.6,520.8
5,4,person,329.7,336.2,413.6,566.1
5,5,person,746.4,245.9,842.0,509.3
5,6,handbag,155.7,364.9,205.7,433.8
5,7,person,1189.4,268.7,1282.2,717.7
5,8,person,673.0,275.3,759.7,505.6
5,9,handbag,1188.4,368.5,1283.2,553.6
5,10,handbag,806.7,290.0,875.3,384.3
5,11,person,608.4,209.2,685.1,449.8
5,12,handbag,668.6,395.6,720.6,482.1
5,13,person,545.0,173.6,580.7,280.5
5,14,person,170.9,194.6,253.7,407.0
5,15,person,283.7,218.1,359.6,406.4
6,0,person,412.1,233.6,531.4,516.8
6,1,person,947.1,218.7,1169.5,717.1
6,2,person,192.8,236.1,333.5,686.5
6,3,person,546.0,268.1,661.7,521.2
6,4,person,332.6,336.0,415.7,565.7
6,5,person,746.6,245.7,842.3,508.8
6,6,handbag,160.7,365.5,208.1,431.7
6,7,person,1198.3,287.8,1278.6,719.6
6,8,person,674.0,274.5,760.8,508.2
6,9,handbag,1188.2,366.3,1284.4,552.9
6,10,handbag,807.5,291.8,874.9,384.3
6,11,person,605.6,207.8,686.2,450.5
6,12,handbag,669.1,396.4,721.1,482.3
6,13,person,544.8,173.7,581.2,280.6
6,14,person,170.6,195.2,261.3,419.4
6,15,person,284.5,217.6,360.5,406.1
7,0,person,415.6,230.4,533.2,511.7
7,1,person,946.9,218.8,1168.4,717.2
7,2,person,198.8,236.5,333.5,680.2
7,3,person,547.5,268.5,661.8,520.7
7,4,person,333.8,336.5,416.8,565.6
7,5,person,747.2,245.9,843.2,508.2
7,6,handbag,165.7,366.0,210.4,429.7
7,7,person,1193.3,273.1,1281.3,717.7
7,8,person,674.5,274.0,759.5,508.2
7,9,handbag,1188.0,364.2,1285.7,552.2
7,10,handbag,807.0,293.5,874.4,384.4
7,11,person,602.7,206.7,688.4,452.2
7,12,handbag,669.5,396.6,722.0,482.4
7,13,person,544.8,174.3,581.5,280.7
7,14,person,169.2,195.5,265.1,426.9
7,15,person,285.2,217.1,361.3,405.7
7,16,person,0.1,306.0,25.0,496.6
8,0,person,417.8,228.1,535.2,507.9
8,1,person,947.3,218.7,1168.1,717.3
8,2,person,196.8,235.3,332.3,676.7
8,3,person,548.7,267.9,662.1,519.8
8,4,person,334.5,334.6,419.0,563.4
8,5,person,747.1,245.8,843.3,508.0
8,6,handbag,170.7,366.6,212.8,427.6
8,7,person,1206.3,301.3,1276.4,719.7
8,8,person,674.5,273.0,757.0,506.5
8,9,handbag,1187.8,362.0,1286.9,551.5
8,10,handbag,807.2,296.0,873.9,384.5
8,11,person,600.1,204.5,690.0,452.1
8,12,handbag,670.1,398.7,722.2,482.8
8,13,person,544.9,174.2,581.6,280.1
8,14,person,171.9,195.1,269.7,428.1
8,15,person,285.9,216.7,362.2,405.4
8,16,person,-0.1,303.5,26.5,497.0
9,0,person,419.6,226.4,537.6,505.0
9,1,person,947.7,218.6,1167.5,717.2
9,2,person,185.4,231.2,330.1,672.5
9,3,person,549.6,267.3,662.3,519.0
9,4,person,337.8,331.7,421.7,557.5
9,5,person,748.8,246.0,843.7,507.2
9,6,handbag,175.7,367.2,215.2,425.5
9,7,person,1212.4,319.5,1274.4,721.8
9,8,person,674.0,272.0,753.9,504.3
9,9,handbag,1151.8,464.9,1243.8,659.0
9,10,handbag,807.9,296.0,874.3,384.0
9,11,person,997.7,260.1,1140.4,621.6
9,12,handbag,670.8,399.8,722.3,483.2
9,13,person,544.3,174.1,581.0,279.6
9,14,person,190.3,188.1,265.3,379.0
9,15,person,591.4,208.9,690.8,444.5
9,16,person,0.7,305.7,27.3,496.7
10,0,person,422.6,225.5,540.3,501.9
10,1,person,948.0,218.4,1167.1,717.2
10,2,person,184.4,229.2,329.3,662.3
10,3,person,550.2,266.3,662.1,517.5
10,4,person,343.8,329.0,425.7,551.5
10,5,person,748.5,245.6,843.5,507.0
10,6,handbag,180.8,367.7,217.5,423.4
10,7,person,1198.1,281.4,1283.1,717.7
10,8,person,673.9,270.7,753.6,503.1
10,9,handbag,1144.0,483.9,1236.9,678.9
10,10,handbag,806.4,294.9,874.8,384.2
10,11,person,778.1,225.6,878.6,527.8
10,12,handbag,671.6,400.8,722.4,483.7
10,13,person,543.0,174.3,580.5,279.4
10,14,person,204.7,183.3,261.2,355.6
10,15,person,1041.9,310.7,1155.5,632.9
10,16,person,1.7,310.0,27.9,496.7
10,18,handbag,778.0,325.3,828.7,389.9
11,0,person,427.3,225.4,543.6,498.7
11,1,person,947.7,217.6,1167.1,717.5
11,2,person,189.0,227.4,330.7,651.9
11,3,person,550.9,265.5,662.2,516.4
11,4,person,347.4,326.6,431.3,549.3
11,5,person,750.3,245.6,843.6,506.3
11,6,handbag,185.8,368.3,219.9,421.4
11,7,person,1207.5,314.2,1275.8,721.4
11,8,person,674.6,267.8,754.6,498.7
11,9,handbag,1136.2,502.9,1230.0,698.8
11,10,handbag,806.4,294.5,875.1,383.7
11,11,person,649.4,204.2,732.7,477.4
11,12,handbag,672.3,401.9,722.6,484.1
11,13,person,542.2,174.4,580.3,278.9
11,14,person,264.1,217.9,375.2,483.4
11,15,person,1293.1,369.4,1442.4,727.3
11,16,person,1.3,308.0,30.2,495.9
11,18,handbag,778.0,324.7,829.1,389.7
12,0,person,429.7,225.0,546.2,497.3
12,1,person,947.2,216.2,1167.4,717.5
12,2,person,192.3,225.5,332.5,645.6
12,3,person,551.1,264.1,662.4,516.0
12,4,person,350.6,326.2,435.6,548.1
12,5,person,748.7,244.7,843.2,506.7
12,6,handbag,190.8,368.8,222.3,419.3
12,7,person,1196.9,279.4,1283.7,717.2
12,8,person,672.5,267.6,755.8,503.2
12,9,handbag,1128.4,522.0,1223.1,718.8
12,10,handbag,806.8,292.1,875.9,382.7
12,11,person,594.5,194.5,675.3,456.6
12,12,handbag,673.1,402.9,722.7,484.5
12,13,person,542.0,174.7,579.9,278.0
12,14,person,283.8,219.5,397.3,511.8
